Species,Chromosome,Gene,CoordinateStart,CoordinateEnd
Doryteuthis,Dpe14,Dopeav2048957m,28997973,28998412
Doryteuthis,Dpe15,Dopeav2053769m,66093848,66105677
Doryteuthis,Dpe13,Dopeav2045796m,32411563,32411766
Doryteuthis,Dpe11,Dopeav2040175m,94323427,94553513
Doryteuthis,Dpe36,Dopeav2115864m,40159175,40159757
Doryteuthis,Dpe08,Dopeav2029342m,82524602,82537492
Doryteuthis,Dpe31,Dopeav2102571m,41974463,41976166
Doryteuthis,Dpe02,Dopeav2005574m,55015268,55048301
Doryteuthis,Dpe16,Dopeav2058670m,82718765,82744254
Doryteuthis,Dpe03,Dopeav2010468m,86461828,86462202
Doryteuthis,scDpe0170,Dopeav2137255m,66589,94571
Doryteuthis,Dpe29,Dopeav2096650m,37120745,37294707
Doryteuthis,Dpe20,Dopeav2068838m,5937981,6169956
Doryteuthis,Dpe06,Dopeav2022776m,105812733,105857541
Doryteuthis,Dpe23,Dopeav2080020m,80790096,80791085
Doryteuthis,Dpe10,Dopeav2036357m,94053538,94054137
Doryteuthis,Dpe34,Dopeav2109484m,3072882,3168299
Doryteuthis,Dpe04,Dopeav2013423m,52290763,52333145
Doryteuthis,Dpe21,Dopeav2073158m,47001450,47002782
Doryteuthis,Dpe41,Dopeav2126586m,23793694,23793975
Doryteuthis,Dpe17,Dopeav2062360m,94639885,94650032
Doryteuthis,Dpe25,Dopeav2085224m,47519882,47848579
Doryteuthis,Dpe34,Dopeav2111230m,52707907,52728706
Doryteuthis,Dpe07,Dopeav2025100m,60824285,60876656
Doryteuthis,Dpe21,Dopeav2073784m,65880071,65899268
Doryteuthis,Dpe17,Dopeav2060935m,51374205,51555237
Doryteuthis,Dpe05,Dopeav2018366m,89662370,89663263
Doryteuthis,Dpe06,Dopeav2023549m,132210839,132223689
Doryteuthis,Dpe15,Dopeav2052077m,22834983,22838011
Doryteuthis,Dpe24,Dopeav2081649m,33325103,33325219
Doryteuthis,Dpe02,Dopeav2006781m,92537001,92538342
Doryteuthis,Dpe18,Dopeav2063176m,12062071,12063438
Doryteuthis,Dpe15,Dopeav2055780m,110319195,110320355
Doryteuthis,Dpe07,Dopeav2025907m,88779903,88888300
Doryteuthis,Dpe06,Dopeav2019997m,4867981,4929842
Doryteuthis,Dpe28,Dopeav2093251m,17783920,17818316
Doryteuthis,Dpe15,Dopeav2055552m,105974794,105975120
Doryteuthis,Dpe20,Dopeav2071054m,78958273,79025247
Doryteuthis,Dpe02,Dopeav2007441m,119435082,119490833
Doryteuthis,Dpe15,Dopeav2055798m,110759637,110772534
Doryteuthis,Dpe15,Dopeav2051575m,8190965,8196873
Doryteuthis,Dpe08,Dopeav2027428m,9504986,9505324
Doryteuthis,Dpe09,Dopeav2032554m,80900250,81082162
Doryteuthis,Dpe15,Dopeav2055309m,100378321,100379179
Doryteuthis,Dpe37,Dopeav2118866m,52245797,52284074
Doryteuthis,Dpe21,Dopeav2073003m,40095140,40110753
Doryteuthis,Dpe39,Dopeav2123149m,53377898,53431010
Doryteuthis,Dpe09,Dopeav2030630m,7767095,7767298
Doryteuthis,Dpe44,Dopeav2131947m,5520199,5545265
Doryteuthis,Dpe04,Dopeav2015478m,126583539,126614293
Doryteuthis,Dpe44,Dopeav2132115m,10616047,10616349
Doryteuthis,Dpe27,Dopeav2090337m,24806561,24823812
Doryteuthis,Dpe09,Dopeav2031540m,41527942,41532201
Doryteuthis,Dpe20,Dopeav2069608m,29380488,29380941
Doryteuthis,Dpe45,Dopeav2134285m,20030435,20101455
Doryteuthis,Dpe12,Dopeav2043936m,89539348,89577123
Doryteuthis,Dpe29,Dopeav2097371m,55441766,55452992
Doryteuthis,Dpe11,Dopeav2038999m,60138814,60178874
Doryteuthis,Dpe32,Dopeav2105174m,39795126,39797087
Doryteuthis,Dpe02,Dopeav2008383m,153376669,153466532
Doryteuthis,Dpe41,Dopeav2127891m,56969587,56969998
Doryteuthis,Dpe27,Dopeav2089641m,3602971,3635060
Doryteuthis,Dpe35,Dopeav2112016m,187269,198287
Doryteuthis,Dpe23,Dopeav2079053m,47541645,47681600
Doryteuthis,Dpe34,Dopeav2111410m,58121794,58159711
Doryteuthis,Dpe18,Dopeav2063883m,36968874,36971123
Doryteuthis,Dpe02,Dopeav2005909m,64587921,64632957
Doryteuthis,Dpe18,Dopeav2063658m,28729831,28774887
Doryteuthis,Dpe06,Dopeav2020459m,23022956,23065543
Doryteuthis,Dpe26,Dopeav2089160m,82530092,82531840
Doryteuthis,Dpe03,Dopeav2011041m,109694934,109753661
Doryteuthis,Dpe11,Dopeav2037912m,20777285,20830362
Doryteuthis,Dpe02,Dopeav2006568m,86063598,86064023
Doryteuthis,Dpe25,Dopeav2083776m,4798287,4875367
Doryteuthis,Dpe07,Dopeav2027206m,130462687,130483182
Doryteuthis,Dpe06,Dopeav2021584m,66715378,66785985
Doryteuthis,Dpe08,Dopeav2029376m,83421279,83470861
Doryteuthis,Dpe11,Dopeav2040423m,102932871,103116902
Doryteuthis,Dpe13,Dopeav2047254m,80665505,80666254
Doryteuthis,Dpe37,Dopeav2117704m,16826294,16889386
Doryteuthis,Dpe29,Dopeav2096544m,31613343,31660672
Doryteuthis,Dpe07,Dopeav2026253m,100558864,100559391
Doryteuthis,Dpe41,Dopeav2126730m,27558910,27854858
Doryteuthis,Dpe19,Dopeav2066262m,1675287,1711534
Doryteuthis,Dpe16,Dopeav2057041m,28854116,28878872
Doryteuthis,Dpe31,Dopeav2101671m,21604638,21725348
Doryteuthis,Dpe41,Dopeav2127549m,49240001,49241140
Doryteuthis,Dpe09,Dopeav2030909m,17951371,17952116
Doryteuthis,Dpe09,Dopeav2033434m,111118538,111128443
Doryteuthis,Dpe21,Dopeav2074588m,93614079,93631840
Doryteuthis,Dpe24,Dopeav2082549m,61925368,61933872
Doryteuthis,Dpe02,Dopeav2007940m,137491538,137497750
Doryteuthis,Dpe22,Dopeav2075593m,23050154,23074395
Doryteuthis,Dpe33,Dopeav2107066m,10237294,10239512
Doryteuthis,Dpe16,Dopeav2056721m,18273076,18447029
Doryteuthis,Dpe25,Dopeav2084140m,14801169,15047740
Doryteuthis,Dpe39,Dopeav2123090m,51521811,51522389
Doryteuthis,Dpe06,Dopeav2021192m,49012822,49128642
Doryteuthis,Dpe20,Dopeav2069760m,34470926,34535734
Doryteuthis,Dpe02,Dopeav2004633m,23420773,23449671
Doryteuthis,Dpe42,Dopeav2129232m,36948260,36948811
Doryteuthis,Dpe25,Dopeav2084661m,30640953,30644361
Doryteuthis,Dpe18,Dopeav2064353m,50073839,50185458
Doryteuthis,Dpe27,Dopeav2092347m,81061388,81062418
Doryteuthis,Dpe18,Dopeav2063142m,10453255,10533027
Doryteuthis,Dpe05,Dopeav2019049m,116143141,116150710
Doryteuthis,Dpe20,Dopeav2070030m,44114047,44114942
Doryteuthis,Dpe15,Dopeav2053466m,58994175,59272192
Doryteuthis,Dpe13,Dopeav2045499m,22675270,22804254
Doryteuthis,Dpe09,Dopeav2033214m,101510098,101511409
Doryteuthis,Dpe32,Dopeav2105705m,56518667,56520031
Doryteuthis,Dpe18,Dopeav2065350m,80493143,80505792
Doryteuthis,Dpe20,Dopeav2070318m,53892829,53932818
Doryteuthis,Dpe23,Dopeav2079741m,69441541,69457261
Doryteuthis,Dpe23,Dopeav2077792m,6560362,6596279
Doryteuthis,Dpe35,Dopeav2114108m,59993015,60123218
Doryteuthis,Dpe42,Dopeav2129183m,35532460,35533000
Doryteuthis,Dpe12,Dopeav2043261m,67358113,67358433
Doryteuthis,Dpe09,Dopeav2031654m,45115769,45150639
Doryteuthis,Dpe15,Dopeav2052675m,38895900,38937924
Doryteuthis,Dpe26,Dopeav2088747m,69268115,69308248
Doryteuthis,Dpe37,Dopeav2118440m,38065977,38172042
Doryteuthis,Dpe11,Dopeav2038289m,33181551,33208114
Doryteuthis,Dpe18,Dopeav2065051m,69998219,70018189
Doryteuthis,Dpe06,Dopeav2022479m,92740641,92740850
Doryteuthis,Dpe32,Dopeav2106168m,71539133,71716722
Doryteuthis,Dpe31,Dopeav2103441m,68003524,68099551
Doryteuthis,Dpe22,Dopeav2077377m,87184272,87202561
Doryteuthis,Dpe04,Dopeav2015851m,140666987,140667316
Doryteuthis,Dpe42,Dopeav2129677m,49138810,49139730
Doryteuthis,Dpe23,Dopeav2079207m,52083065,52096829
Doryteuthis,Dpe05,Dopeav2016378m,14325363,14495302
Doryteuthis,Dpe13,Dopeav2047215m,78977149,79012664
Doryteuthis,Dpe11,Dopeav2038047m,24942104,24943618
Doryteuthis,Dpe11,Dopeav2039890m,87349069,87387405
Doryteuthis,Dpe30,Dopeav2098641m,7542795,7569327
Doryteuthis,Dpe15,Dopeav2055536m,105694811,105695879
Doryteuthis,Dpe11,Dopeav2038566m,44458823,44459233
Doryteuthis,Dpe46,Dopeav2136045m,27120446,27120886
Doryteuthis,Dpe29,Dopeav2096410m,26939762,26940097
Doryteuthis,Dpe30,Dopeav2099622m,34504133,34512045
Doryteuthis,Dpe42,Dopeav2128607m,16289748,16296140
Doryteuthis,Dpe17,Dopeav2060571m,38611067,38653878
Doryteuthis,Dpe33,Dopeav2108418m,46313961,46332483
Doryteuthis,Dpe04,Dopeav2015967m,144768712,144906885
Doryteuthis,Dpe33,Dopeav2108431m,46573249,46603147
Doryteuthis,Dpe14,Dopeav2048972m,29340929,29341621
Doryteuthis,Dpe03,Dopeav2011223m,117183927,117184193
Doryteuthis,Dpe02,Dopeav2005462m,50552762,50568496
Doryteuthis,Dpe03,Dopeav2009339m,37218301,37330201
Doryteuthis,Dpe01,Dopeav2000749m,29394846,29507707
Doryteuthis,Dpe28,Dopeav2093409m,23421451,23422133
Doryteuthis,Dpe21,Dopeav2073109m,45015269,45035314
Doryteuthis,Dpe44,Dopeav2132051m,8592740,8598018
Doryteuthis,Dpe10,Dopeav2035054m,40334126,40443085
Doryteuthis,Dpe05,Dopeav2018114m,79168794,79186197
Doryteuthis,Dpe08,Dopeav2029337m,82313041,82395057
Doryteuthis,Dpe15,Dopeav2052052m,22560474,22562562
Doryteuthis,Dpe45,Dopeav2134859m,37156014,37162262
Doryteuthis,Dpe11,Dopeav2037700m,11886528,11992847
Doryteuthis,Dpe39,Dopeav2121406m,5049216,5063994
Doryteuthis,Dpe12,Dopeav2044397m,105428249,105564405
Doryteuthis,Dpe25,Dopeav2085190m,46133735,46191868
Doryteuthis,Dpe44,Dopeav2132350m,18029432,18032079
Doryteuthis,Dpe02,Dopeav2007993m,139381358,139399134
Doryteuthis,Dpe19,Dopeav2068132m,73389767,73392122
Doryteuthis,Dpe12,Dopeav2041960m,19958719,20054474
Doryteuthis,Dpe18,Dopeav2063238m,15592774,15694602
