DoryGENE,EupGENE
Dopeav2057982m,cluster_8033
Dopeav2073714m,cluster_15613
Dopeav2101533m,cluster_6453
Dopeav2083700m,cluster_988
Dopeav2132452m,cluster_6671
Dopeav2131310m,cluster_14699
Dopeav2062151m,cluster_321
Dopeav2108607m,cluster_7930
Dopeav2103924m,cluster_4046
Dopeav2132247m,cluster_16490
Dopeav2119818m,cluster_4765
Dopeav2122154m,cluster_27623
Dopeav2052704m,cluster_14004
Dopeav2109377m,cluster_24674
Dopeav2129127m,cluster_19579
Dopeav2022288m,cluster_22404
Dopeav2067480m,cluster_16337
Dopeav2006117m,cluster_24337
Dopeav2112641m,cluster_20361
Dopeav2084085m,cluster_23507
Dopeav2019074m,cluster_26876
Dopeav2005577m,cluster_6695
Dopeav2134643m,cluster_11945
Dopeav2000598m,cluster_7281
Dopeav2121681m,cluster_13462
Dopeav2090268m,cluster_2801
Dopeav2055203m,cluster_15741
Dopeav2128228m,cluster_11407
Dopeav2093898m,cluster_8515
Dopeav2073976m,cluster_5675
Dopeav2069976m,cluster_14026
Dopeav2063850m,cluster_11258
Dopeav2000964m,cluster_7172
Dopeav2069654m,cluster_23111
Dopeav2089620m,cluster_23382
Dopeav2121638m,cluster_19646
Dopeav2103631m,cluster_14896
Dopeav2102863m,cluster_5615
Dopeav2131313m,cluster_19339
Dopeav2112031m,cluster_7713
Dopeav2101530m,cluster_9608
Dopeav2030960m,cluster_7007
Dopeav2013119m,cluster_802
Dopeav2037365m,cluster_1985
Dopeav2075487m,cluster_25169
Dopeav2091420m,cluster_8362
Dopeav2110663m,cluster_11867
Dopeav2100656m,cluster_13746
Dopeav2040985m,cluster_1344
Dopeav2021178m,cluster_7940
Dopeav2013620m,cluster_16180
Dopeav2132197m,cluster_4456
Dopeav2027102m,cluster_5859
Dopeav2035902m,cluster_3677
Dopeav2113443m,cluster_9683
Dopeav2031911m,cluster_22705
Dopeav2104548m,cluster_25269
Dopeav2062595m,cluster_19093
Dopeav2004891m,cluster_3609
Dopeav2124033m,cluster_5870
Dopeav2105585m,cluster_1837
Dopeav2038898m,cluster_2854
Dopeav2114341m,cluster_909
Dopeav2079163m,cluster_15942
Dopeav2070052m,cluster_14114
Dopeav2012167m,cluster_22840
Dopeav2115723m,cluster_28004
Dopeav2122434m,cluster_2733
Dopeav2025902m,cluster_10723
Dopeav2007028m,cluster_2926
Dopeav2132132m,cluster_4817
Dopeav2024819m,cluster_511
Dopeav2073697m,cluster_13393
Dopeav2057045m,cluster_28315
Dopeav2078110m,cluster_20592
Dopeav2060309m,cluster_2130
Dopeav2073852m,cluster_9883
Dopeav2004927m,cluster_7530
Dopeav2011301m,cluster_7658
Dopeav2009093m,cluster_8847
Dopeav2022196m,cluster_16855
Dopeav2016649m,cluster_8059
Dopeav2020960m,cluster_11237
Dopeav2119781m,cluster_13610
Dopeav2001508m,cluster_17640
Dopeav2080672m,cluster_18113
Dopeav2084297m,cluster_12025
Dopeav2079043m,cluster_28177
Dopeav2106935m,cluster_9182
Dopeav2049050m,cluster_4687
Dopeav2075628m,cluster_18923
Dopeav2094722m,cluster_11185
Dopeav2073834m,cluster_13667
Dopeav2039847m,cluster_11740
Dopeav2069305m,cluster_25760
Dopeav2060840m,cluster_8823
Dopeav2052396m,cluster_17683
Dopeav2040409m,cluster_13871
Dopeav2037469m,cluster_7138
